tweet,subtask_a,subtask_b,subtask_c
१९६० साली महाराष्ट्रातल्या साध्या मराठी माणसांनी लढुन मुंबई महाराष्ट्राला मिळवून दिली ती माणसं म्हणजे कुणी ब्रॅंड नव्ह…,not offensive,NULL,NULL
मुंबई पोलिसांवर अविश्वास दाखवून त्यांची बदनामी करणाऱ्या कंगना रानौतला विमान तळावरून घरी जाताना वाय प्लस दर्जाची सुर…,not offensive,NULL,NULL
ने विरोधात केलेली कारवाई ही सुडबुद्धीने केलेली कारवाई आहे असंच म्हणावं लागेल जर कंगनाचं हे…,not offensive,NULL,NULL
दगाबाज म्हणजे ट्रेचरस इरसाल मुत्सद्दी हा दगलबाजच असावा लागतो हे वादळी विचार आहेत महाराष्ट्राचे प्रबोधनकार के…,not offensive,NULL,NULL
कधी अनुभवला का हो तुम्ही निसर्ग त्या रात्रीच्या लुकलुकणार्या चांदण्यांना प्रश्न विचारलेत का कधी? तो संध्याकाळच्या…,not offensive,NULL,NULL
कंगना च फक्त कार्यालय तुटलंय इकडे तर भारतीय अर्थव्यवस्था ने केलीय त्याबद्दल गोदी मीडिया …,not offensive,NULL,NULL
अमिताभ बच्चन ॲन्ड फॅमिली और कौन ???,not offensive,NULL,NULL
५८ मोर्चे ४२ बलीदान १४२०० जेलमध्ये मिळाल काय? मराठा आरक्षणाला शैक्षणिक प्रवेश आणि नोकरभर्तीत स्थगिती,not offensive,NULL,NULL
खरं तर अश्या वेळी पक्षभेद विसरून जे महाराष्ट्राला नाहक बदनाम करताहेत त्यांच्या विरुद्ध…,not offensive,NULL,NULL
तु आणि मी म्हणजे एकमेकांशी इतका वेळ बोलून सुद्धा काहीतरी राहून गेले असे वारंवार वाटत राहणे तु आणि मी म्हणजे एकमेकांत…,not offensive,NULL,NULL
नेहमीच मी तूझ्या नजरेत हरवतो पण तुलाच फक्त मी तुझ्यात गवसतो,not offensive,NULL,NULL
हसून हसून मारायचो च्यायला,not offensive,NULL,NULL
इकडे मराठा समाजात असंतोष दिसु लागताच बारामतीचे करामती काका आपली दलीत वोटबैंक मजबूत करणेसाठी भिमाकोरेगाव विषय घेऊन आ…,not offensive,NULL,NULL
मुंबई इंडियन्सच्या संघात समावेश झालेल्या या खेळाडूने साली आलेल्या काय पो छे चित्रपटामध्ये बालकलाकाराची भूमि…,not offensive,NULL,NULL
छत्रपती शिवाजी महाराज ह्यांची तुलना कोणाशीही होऊ शकतच नाही तरी सुद्धा मध्येच काही बावळट काही तरी उपद्व्याप करत असतात तरी…,not offensive,NULL,NULL
तूज्या सारख्या लोकांमुळे भारत विभागला जातो जर उद्या ए…,not offensive,NULL,NULL
ऑनलाइन फसवणूक करणारे बऱ्यापैकी सर्व कॉल हे उत्तर प्रदेश बिहार मधून हिंदी भाषेत येत असतात कोणताही कॉल आला तर मराठी मधू…,not offensive,NULL,NULL
पैसे असणे किती महत्वाचे आहेत ते थोड्या वेळातच समजेल,not offensive,NULL,NULL
महाराष्ट्राने ज्याला मोठा केला तो पोर्नहब गोस्वामी परवा जो उखडणा है उखाड लो म्हणत होता तमाम मुंबईकरांना विनंती…,not offensive,NULL,NULL
कर्नाटकातल्या विश्वेशवरैया विद्यापीठाने सर्व अभियांत्रिकीच्या अभ्यासक्रमांत कानडी भाषा सक्तीची केली आहेमुख्यमंत्री,not offensive,NULL,NULL
एकीकडे सत्तेच्या ची आस आणि दुरीकडे आस फरक आपल्या समोर आहे इथे लोकांचे जगायचे वांदे आणि ह्या,not offensive,NULL,NULL
गजाआडच्या कविता संग्रहातून जीवनाचा अर्थ प्रकाश तुळशीराम पंडीत (औरंगाबाद मध्यवर्ती कारागृह),not offensive,NULL,NULL
शिशुपालाचे अजून किती अपराध भरायची वाट पाहतोयस श्रीकृष्णा?,not offensive,NULL,NULL
कोरेगाव भीमा हिंसाचारप्रकरणी आणखी एक अटकेतआता कबीर कला मंचच्या कार्यकर्तीला अटक म,not offensive,NULL,NULL
सर हे आयुष्यभर लक्षात राहील,not offensive,NULL,NULL
भाग१ कालपर्यंत विद्रोही आवाजाचा नवा अध्याय बंडखोर शाहीर इ नावाखाली व्यासपीठ उपलब्ध करणारे समस्त झारीतील शु…,not offensive,NULL,NULL
नको समजावू तुझ्या मनाला आता बस झाली आपल्या प्रेमाची कथा बरा आहे आपल्यातला दुरावा मी नाही झेलत बस…,not offensive,NULL,NULL
कसा नसावा हे माननीय ह्यांनी दाखवून दिलाय पण नेता कसा असावा हेपण त्यांनी दाखवून…,not offensive,NULL,NULL
२०१८ वर्ल्ड कप गोल्डन बॉल विजेता व २०१८ मधील सर्वोत्तम खेळाडू क्रोएशियन लुका मॉड्रीक याला ३५ व्या वाढदिवसाच्या हार्दिक शु…,not offensive,NULL,NULL
अशा व्यक्तींची सोबत करा जे तुम्हाला नेहमी आठवणीत ठेवतील गरज पडल्यानंतर आठवण येणार्‍या व्यक्तिंपासून कधीही लांब राहणे चांगलेच,not offensive,NULL,NULL
यातील तुमचा आवडता कर्णधार सांगा मंडळी,not offensive,NULL,NULL
इ सण २०४० थोर क्रांतीकारक कंगना राणावत यांचे ९ सप्टेंबर २०२० ला मुंबई त क्रांतिकारी लढ्यासाठी आगमन,not offensive,NULL,NULL
च्यायला समोरून डिप्लोमा च्या पोरी येत होत्या म्हणून गेट वरून चडत होतो तिथेच पँट फाटली,not offensive,NULL,NULL
सत्य परिस्थिती आहे कार्यकर्ता हवे का एखादा नोकरी वरून निघेल असे बघा असं ग्रामीण भागात म्हणतात त्यालाच मालकवि…,not offensive,NULL,NULL
कोणीही तिच्या शरीराला झटते माईक तिच्या शरीराच्या विविध अंगाला लागतात पण ती काहीही बोलू शकत नाही आणि बोलली तर माध्यमे…,not offensive,NULL,NULL
असं वाटतं मनाला माझ्या समजावं खूप झाला आहे दुरावा पुन्हा तुझ्यावर आता नव्याने प्रेम करावं,not offensive,NULL,NULL
मन आणि घर किती मोठं आहे याला महत्व नसतं मनात आणि घरात किती आपलेपणा आहे याला महत्व असतं,not offensive,NULL,NULL
महाराष्ट्राची राजधानी मुंबईस ग्रहण लावण्याचे प्रयत्न उपऱ्यांकडून प्रयत्न सुरू असून त्यांना बळ देण्यासाठी परंपरेप्र…,not offensive,NULL,NULL
जळगाव जिल्ह्यातील झुलता पूल चोपडा शहराजवळील अंकलेश्वर ब हाणपूर रस्त्यावरचा गूळ नदीवरील पूल कमकुवत झालाय वाहनं जाताच पु…,not offensive,NULL,NULL
मुंबईतील माणसाची हिंदी बोलण्याची घाणेरडी सवय एकदिवस त्याच्याच सर्वनाशाला कारणीभूत ठरेल आप…,not offensive,NULL,NULL
आज महाविकास आघाडीच्या निष्काळजीपणामुळे आमच्या मराठा समाजाच्या आरक्षणाला नोकरी आणि शैक्षणिक प्रवेश यामध्ये स्थगिती…,not offensive,NULL,NULL
कितीही बांधल्या माड़या। कितीही चढविले ईमले।। हिरव्या इमारती समोर अन। निळ्या छता पुढे हे इवले।।,not offensive,NULL,NULL
आता आम्हाला टाटा समूहाची मूल्यं आवडतात म्हणून तुमच्याकडे जॉईन झालेला तरुण फक्त मिडल मॅनेजमेंटच्या दळभद्री…,not offensive,NULL,NULL
अमिताभने रंगवलेला अँथोनी गोन्सालवीस खरंतर लक्ष्मीकांत प्यारेलाल यांचा गुरू होता,not offensive,NULL,NULL
आमच्या मातृभाषेचा अपमान आम्ही मराठी जनता कधीच खपवून घेणार नाही आम्हाला आमच्या मातृभाषेचा अभिमान आ…,not offensive,NULL,NULL
रेग्युलेशन ऍक्ट १७७३ साली ब्रिटिशांनी लागू केला या कायद्यांतर्गत सुरुवातीला कलकत्ता(कोलकाता) व त्यानंतर मद्रास (चे…,not offensive,NULL,NULL
अशाप्रकारे जास्तीत जास्त माहिती देण्याचा प्रयत्न केला असुन आवडल्यास नक्की शेअर करा,not offensive,NULL,NULL
शटउपट्या पोलीसाचा डीपी ठेवला म्हणजे पोलीस सुद्धा येतात…,not offensive,NULL,NULL
ती येते तिचे गोड खळी तील हासू सर्वांना आपले करते चतुरा व्यवहारी गृहिणी कधी प्रेमळ पत्नी होते सजग मायाळू मा…,not offensive,NULL,NULL
महाड येथील तारीक गार्डन इमारत दुर्घटनेतील १६ मृतांच्या वारसांना प्रत्येकी पाच लाख रुपये मदतीचे वाटप करण्यात…,not offensive,NULL,NULL
आयपीएलमध्ये २ कोटींपेक्षा अधिक रक्कम मिळालेला हा खेळाडू विकायचा पाणीपुरी,not offensive,NULL,NULL
२०१० साली सरकार असताना कांद्याचे भाव वाढत असल्यामुळे कांद्याची निर्यातबंदी केली आयातकर कमी केले पाकिस्तानातून…,not offensive,NULL,NULL
नुसतं नाव अनुभवआई चा दर्जा देता म आईची एक जी ओळख आहे तिला बिघडवायचा अधिकार कोणी दिला तुम्हाला?? आ…,not offensive,NULL,NULL
बोलू दे थोड़े दिवस आहेत नंतर देशमुख गेला आ…,not offensive,NULL,NULL
आपल्याला भारतीय घटनेने दिलेले आहे म्हणजे याचा अर्थ असा तर नाही ना होत की त्याच्या नावाखाली का…,not offensive,NULL,NULL
अनेक आंतरराष्ट्रीय स्पर्धांमध्ये भारताला पदकांनी समृद्ध करणाऱ्या पॅरा बॅडमिंटनपटू सुकांत कदम याचा आज जन्मदिवस २७…,not offensive,NULL,NULL
गोट्या सेठ न बनविली फक्त एक कंपनी च नाव सांग मागिल वर्षात देशात,not offensive,NULL,NULL
तुमचं आजचं राशीभविष्य जाणून घ्या एका क्लिकवर,not offensive,NULL,NULL
आम्ही आहोत जात पात धर्मा आमचा मराठी जय महाराष्ट्र,not offensive,NULL,NULL
केंद्र सरकार ने नेमून दिलेल्या वकिलाने योग्य बाजू मांडली राज्यला ते जमलं नाही सिब्बल साहेबांसारखा…,not offensive,NULL,NULL
जेंव्हा महानगरपालिकेने मंत्रालयासमोरील च ऑफिस तोडलं होतं भक्त तेंव्हा ऐवढे पिसाळले नव्हते जेवढे आत्ता…,not offensive,NULL,NULL
तुम्हाला माहिती आहे वर्षात वेळा साठी झालोय आम्ही त्यात काय आम्हीही व…,not offensive,NULL,NULL
९ सप्टेंबर २०२०। बुधवार शके १९४२ भाद्रपद कृष्ण सप्तमी सप्तमी श्राद्ध सूर्योदय ०६२७ सूर्यास्त १८…,not offensive,NULL,NULL
अच्छा ते सगळे गप्प आहेत तसेच निवडणुकीमध्ये लोकांनी मते दिली नाहीत म्हणून राज साहेब गप्प आहेत तर(…,not offensive,NULL,NULL
पावसाची फ्रेंड रिक्वेस्ट मनिष कासोदेकर,not offensive,NULL,NULL
नमस्कार तुमची ची जाहीरात इतकी कंटाळवाणी व त्रासदायक आहे की जाहिरात बघून असलेले ग्राहक…,not offensive,NULL,NULL
पोरी फिरवायला जर फंटर स्काॅलरशिपचे पैसे वापरत असतील तर अशांसाठी बाबासाहेनीच फाशीच कलम समाविष्ट करायला पाहीजे होतं…,not offensive,NULL,NULL
२ ते साऱ्या जगाला माहित आहे साल्यानी भुग्रहणासाठी शेतकऱ्याना आत्महत्या करायला लावल्या…,not offensive,NULL,NULL
आठवलं चे ठेकेदार पूर्वी फार आक्रमक होते आता बघूया किती आक्रमक होतात नाही झाले तर समजायचे ते समजून…,not offensive,NULL,NULL
कावळा शिवण्याला काय शास्त्राधार आहे? वाचा जयशंकर शर्मा यांचे उत्तर,not offensive,NULL,NULL
सर तुम्ही माझे एक आदर्श कलाकार होतात तुमची अभिनयवर असलेली पकड म्हणजे उत्कृष्ट आहे तुम्हाला मा…,not offensive,NULL,NULL
वेगवेगळ्या ठिकाणी निवांत बसलेले तोंडात सतत माऊली पांडुरंग अत्यंत हसतमुख आणि मुख्य म्हणजे समाधानी चेहरे वाट…,not offensive,NULL,NULL
च्या तोंडात राम मंदिर अयोध्या बाबर अन् आता ही सोनिया सेना आहे कळलं का ही मैना कुणाची अन् ही…,not offensive,NULL,NULL
भारताची पुरांतन बौद्धिक संपदा थोर गाणितज्ञ व ज्योतिषी वराहमिहीर ज्योतिषशास्त्राच्या अनेक शाखांवर ग्रंथलेखन करणा…,not offensive,NULL,NULL
स्वतः इंजिनेरिंग करून फसलेला माणूस दुसऱ्याला इंजिनेररिंग कर सांगतो म्हणजे बायको कशी आहे हे माहीत असून सुद्धा मित्राला…,not offensive,NULL,NULL
अरे लाचारा तुमच्यावर ही अशी वेळ यायला हवी आणि दुसरे त्यावेळेस असेच हसले पाहीजे तुमच्या लायकीवर…,not offensive,NULL,NULL
कसोटीमध्ये २७ मिनिटांत अर्धशतक करणारा बांगलादेशचा धुरंदर मोहम्मद अश्रफुलला वाढदिवसाच्या हार्दिक शुभेच्छा,not offensive,NULL,NULL
खेड्यापाड्यातील बौद्ध विहारांचे उद्‌घाटन केले १९६८ साली मुंबई येथे धम्म परिषद भरविण्यात आली व प्रमुख पाहुणे म्हणून…,not offensive,NULL,NULL
बाळगू नका ६) आपली प्रतिकारक्षमता किती चांगली आहे याचा दंभ मिरवू नका ७) नम्र व्हा महापुरे वृक्ष जाती तिथे लव्हाळी…,not offensive,NULL,NULL
गोलंदाजी फलंदाजी म्हणाल तिथे क्षेत्ररक्षण व यष्टीरक्षणसुद्धा करणारा खराखुरा ऑलराऊंडर,not offensive,NULL,NULL
ऑफिस तोडल म्हणून हसणाऱ्या च्या कार्यकर्त्यांनो आणि मुबईचा अपमान झाला म्हणून तिला मुंबईत येऊ देणार…,not offensive,NULL,NULL
आपली न्यायव्यवस्था एवढी सावकाश आहे कीखटला संपता संपता आयुष्य निघून जात जस रात्रीच्या सगळ्या गो…,not offensive,NULL,NULL
पूर्व लडाखमधील मुखपरी येथे प्रत्यक्ष ताबारेषेजवळ सोमवारी जमलेले चिनी सैन्य भाले लोखंडी शिगा आणि अन्य श…,not offensive,NULL,NULL
ने लॉन्च केला अजून एक स्वस्त स्मार्टफोन यात मिळेल एमएएच ची मोठी बॅटरी…,not offensive,NULL,NULL
डॉबाबासाहेब आंबेडकर यांच्या संविधानामुळे आज एका आदिवासी माणसाने चालवणारा ट्रेड भारतात एक नंबरचा ट्रेड होणार आहे ही ताक…,not offensive,NULL,NULL
चार फॉलोअर्स जरी दर्जा विचारांचे असले तरी बस बाकी गर्दी बऱ्याचदा विचारांना दाबण्याचे काम करते,not offensive,NULL,NULL
आजच्या लेखात आपण गुंतवणूकदारांनी आवर्जून पाहावेत अशा स्टॉक मार्केटवर आधारित रंजक चित्रपटांबद्दल ( …,not offensive,NULL,NULL
ह्या ला ऐच्छिक () असतो () ची जी अस…,not offensive,NULL,NULL
शत्रू मिळवणंही वाटतं तेवढं सोपं नसतं त्यासाठी खूप चांगली कामं करावी लागतात,not offensive,NULL,NULL
धुंद ह्रद्ययाची तारा तु अल्लाद छेडत रहा नकोच थांबु तु आता असाच पडत रहा नकोच समजावु काहीच तु तसाच फक्त कळत रहा…,not offensive,NULL,NULL
आयपीएलमध्ये गोलंदाजांसमोर असेल ‘हे सर्वात मोठे आव्हान मोहम्मद शमीने केला खुलासा,not offensive,NULL,NULL
बजाज ऑटोमध्ये २००८ साली लाख गाड्यांचे उत्पादन झाले तेव्हा ९ ५०९ कामगार होते तेच २०१२ मध्ये गाड्यांचे उत्पादन लाखा…,not offensive,NULL,NULL
राग आणि अश्रू हे दोन्ही एकाच वेळी एखाद्या व्यक्तीवर तेव्हाच येतात जेव्हा आपल्याला त्या व्यक्तींची स्वतःहून जास्त का…,not offensive,NULL,NULL
ज्या महाराष्ट्र पोलिसांना आपण नावं ठेवलं त्याच पोलिसांनी तुम्हाला आज सुरक्षा दिली …,not offensive,NULL,NULL
लोक या घटनेवर तोंडात मीठाचा खडा धरून गप्प का बसले आहेत कारण ही घटना भाजपा शासित राज्यात झाली नाही म्हणुन का?,not offensive,NULL,NULL
विमानतळावर आरपीआय करनी सेना विरुद्ध शिवसेना कार्यकर्ते आमने सामने,not offensive,NULL,NULL
कंगना आली आणि सुरक्षा घेऊन मागच्या दाराने पळून गेली ये डर होना चाहीये,not offensive,NULL,NULL
शिस्तीत कार्यक्रम करणे काय असतं हे आज अनेकांना हक्कभंगावरून कळलं असेल,not offensive,NULL,NULL
…म्हणूनच चेतेश्वर पुजाराला आयपीएल लिलावात खरेदीदार न मिळण्याचे दु ख नाही,not offensive,NULL,NULL
बंबई नाही ते मुंबई आहे रे ते रताळ्यानों मुंबई म्हणायला लाज वाटते काय तुम्हाला? मुंबई महाराष्ट्राची राजधानी आहे आणि म…,not offensive,NULL,NULL
जोपर्यंत मराठी माणस सारख्या मराठीत सेवा न देणाऱ्या कंपन्यांच्या वस्तू खरेदी करण बंद क…,not offensive,NULL,NULL
हद्दीत घुसून दहशतवाद्यांचा खातमा…,not offensive,NULL,NULL
परवा माझी पाचव्या वर्गातील नात आर्याने निमित्त छान शिकवले आज तिचा वाढदिवस मी शुभाषिश देतो आपल्या सर्वां…,not offensive,NULL,NULL
अरे संज्या थांब थांब च्यायला खाट आधीच कुरकुरतेय आणखीन हग्रलेखांचे हातोडे नको घालूस,not offensive,NULL,NULL
२०११ साली राहुल द्रविडने आपल्या शेवटच्या एकदिवसीय सामन्यात इंग्लंड विरुद्ध ६९ धावांची खेळी केली होती कारकि…,not offensive,NULL,NULL
आधी तुमच्या वर्तुळात आपल्या मातृभाषेचा चा सन्मान ठेवा जो तो करतील त्यांच्याशी जरूर मैत्री ठेवा जे लोक इत…,not offensive,NULL,NULL
सत्य नेहमीच कटू असतं आणि अंधभक्त अजूनही त्यावरून फुकट अजित पवार ह्यांना लक्ष्य करत बसतात व्हाट्सअप्प ग्रुप वर,not offensive,NULL,NULL
ज्या गोष्टी संसदेला सांगायच्याआहेत त्या सांगितल्याआणि भूभागात चीनने जो आक्रमकपणा व घुसखोरी के…,not offensive,NULL,NULL
मुलांना बोलतात रागवतात ते फक्त प्रेमापोटी आणि त्यांनी सुधारव यासाठी पण आजकालची मुलं एका सेकंदात वापस बोलतात…,not offensive,NULL,NULL
सर्वांनी हे ग्रंथ अवश्य खरेदी करा राष्ट्र आणि धर्मरक्षणाचे उपाय देशाची सद्यस्थिती पाहता हिंदुंवर अ…,not offensive,NULL,NULL
म्हशीच्या गळ्यातील घंटा सुशांत रिया कंगना आलिया नेहरू पटेल पाकिस्तान चीन।,not offensive,NULL,NULL
काही लोक स्वतःचेच म्हणणं मग चूक असलं तरी खरं करतात स्वतः इतकं हुशार कोणीच नाही हेच पटत नाही त्यांना आशा लोकांकडे…,not offensive,NULL,NULL
भारतात ६०० तर जगभरात ७००० हेल्थकेअर वर्कर्सचा संसर्ग काळात झाला आहे,not offensive,NULL,NULL
२०१४ साली महासत्ता होण्याची स्वप्न बघणारा आमचा युवक २०२० साली बेरोजगारी भत्ता मागू लागला एवढा अनर्थ वरच्या एका बट…,not offensive,NULL,NULL
ही मराठी माणसाची एकजूट चं आहे की कंगना ह्या विषयावर महाराष्ट्र भाजप गप्प आहे जास्त खळखळ नाही करत ज…,not offensive,NULL,NULL
फक्त सहकलाकरणीला जी साडीत फिरते तिला पॉर्नस्टार म्हणु शकते,not offensive,NULL,NULL
च्यायला जोडीनं येणार हाय वय तु बर आहे म ये पाऊस गेल्यावर,not offensive,NULL,NULL
असो की यात राज्य सरकारला न्यायालयीन लढाईत अपयश आले आहे फक्त भावनिक लढाई करून सहानुभूती…,not offensive,NULL,NULL
च्यायला सगळ्यांना धमक्या देणारे फोन चालू झाले काय आता चिंधी चोरांना पण धमक्या येऊ लागल्या म्हणजे लॉक…,not offensive,NULL,NULL
करोनाविरोधातील लढ्यात मोठा धक्का ऑक्सफर्डने थांबवली करोना लस चाचणी भारतातही या लसीची चाचणी सुरु करण्यात आली होती,not offensive,NULL,NULL
बघ म्हणजे जग…,not offensive,NULL,NULL
कोरोणा लवकर घालवायचा आहे असं वाटतंय देशाचे महत्वाचे मुद्दे पुढे आणायचे असतील आर्थिक स्थिती वगैरे तर सोशल मीडिया वर…,not offensive,NULL,NULL
तुमच्या एवढा घाबरणारा मुख्यमंत्री मी कधीच पहिला नाही धर्मा पाटलाच्या गावाला जायच्या आधी तुम्ही त्यां…,not offensive,NULL,NULL
राष्ट्रभाषा म्हणत असाल तर तिला कडवं घेऊन खुशाल हिंडाव बाकी महाराष्ट्र अन मराठीच मैंने बोल्याच्यायला ढोल्या…,not offensive,NULL,NULL
कंगणाला जितकी प्रसिद्धी आणि महापालिकेच्या कारवाईने दिली तितकी सलग १२ ब्लॉकबस्टर चित्रपटांनीही मि…,not offensive,NULL,NULL
आज साक्षरता दिवस आहे आजच्या दिवशी तरी तुमची आनी पानी कोळशाची गोनी तुमच्या घालून ठेवा…,not offensive,NULL,NULL
आयपीएलच्या १३ व्या मोसमात या ३ सलामीच्या जोड्या यूएईमध्ये उभारणार धावांचा डोंगर?,not offensive,NULL,NULL
माझ्या ह्रदयातील स्पंदने तुझीच वाट पहात आहेत केव्हा येशील आयुष्यात माझ्या याचीच वाट पाहत आहे ओढ तुझ्या प्रेमाची आ…,not offensive,NULL,NULL
ची फाटली का ची कोणी सांगेल काय राव कोणाची फाटली,not offensive,NULL,NULL
आरक्षण ५ न्यायमूर्तींच्या घटनापिठाकडे वर्ग शैक्षणिक प्रवेशात व नोकरभरतीत आरक्षणाला स्थगीती राज्य सरकारचे,not offensive,NULL,NULL
मनात असंख्य वेदनादायी प्रश्न त्यावर न मिळणारी उत्तरं असंख्य असे आक्रोश त्यावर न मिळणारा दिलासा,not offensive,NULL,NULL
मधमाशी नसेल तर प्राणवायू मिळणं बंद होईल,not offensive,NULL,NULL
भाषावार प्रांतरचनेचा आग्रही पुरस्कार करणारा मराठवाडा नेहमीच अखंड महाराष्ट्रवादी राहिला पण मराठवाड्याच्या वाट्याला नेहमी…,not offensive,NULL,NULL
मराठा आरक्षणाला स्थगिती मात्र मागील वर्षीच्या शैक्षणिक प्रवेश ग्राह्य,not offensive,NULL,NULL
एकेकाळी तमाशा प्रधान फक्त मराठी सिनेमा होता आणि शेतीप्रधान देश आता सगळा देश तमाशा प्रधान झालायप्रत्येक गोष्टीचा त…,not offensive,NULL,NULL
गुलाबाच्या कळीला थांग नव्हता ती अल्लड वाऱ्याच्या झुळकेला लाजून जायची मनोमनी मंद काजव्याची लगबग तिच्यापाशी गुंतत होती…,not offensive,NULL,NULL
काय फेकलो मनमोहनसिंग यांची विकिपीडिया वाचन मग गरीब घरून शिक्षण घेवून स्वताच्या दमावर बन…,not offensive,NULL,NULL
माझे कुटुंब माझी जबाबदारी मोहिमेवरून भाजप नेत्याचा मुख्यमंत्र्यांना टोला,not offensive,NULL,NULL
हो आताही पाठिंबा द्यायला काही हरकत नाही तसही अर्णब आणि कंगना नि मुंबई आणि महाराष्ट्र पोलिसांचा अप…,not offensive,NULL,NULL
हुश्शसुटका झाली टाका आता बाहेर एकदाचा तो तोंडात धरून ठेवलेला मावा सांभाळून टाका आजूबाजूला ब…,not offensive,NULL,NULL
केंद्र सरकार ने नेमून दिलेल्या वकिलाने योग्य बाजू मांडली राज्यला ते जमलं नाही सिब्बल साहेबांसारखा व…,not offensive,NULL,NULL
सौंदर्याला नेहमीच अपूर्णतेचा अभिशाप असतो हे खरंच आहे गंधाविना फुललेली ही फुलं याचंच प्रत्यय आहेत,not offensive,NULL,NULL
माननीय श्री गडकरी जी हे काय चालू आहे संपूर्ण भारतात हायवेवर मस्जिद दर्गे येतातच कसे लवकरात लवकर हा…,not offensive,NULL,NULL
आपल्या आई वडिलांच्या भगीरथ प्रयत्नांनंतर आपला जन्म झाला तो देखील महाराष्ट्रात राज्या…,not offensive,NULL,NULL
मुंबई महानगरपालिकेने जेवढ्या वेळात कंगना राणावत यांचे कार्यलयाचे अतिक्रमण काढले तेवढ्याच वेळात मुंबईतील इतर अतिक्र…,not offensive,NULL,NULL
शिवबाला घडविणाऱ्या जिजाऊंचे तुम्हाला भान पाहिजे मुलींना शिकविणाऱ्या सावित्रीचे तुमच्या हृदयात स्थान पाहिजे जळली या समा…,not offensive,NULL,NULL
शब्द मनाच्या फांदीवर विसावा घेऊन झुलले की ख या अर्थाने शब्दातील अर्थाचा पिसारा फुलतोपण मनाच्या फांदीवर जर पूर्वग्रह द्वेष …,not offensive,NULL,NULL
विचारांच्या वादळात हरवलं की मनाचे प्रश्न मात्र अनुत्तरीत राहतात,not offensive,NULL,NULL
सुप्रभात ट्विटरकरांनो मास्क वापरा आपापसात अंतर राखा काळजी घ्या,not offensive,NULL,NULL
लडाखमध्ये भारत चीनच्या जवानांमध्ये पुन्हा संघर्ष? भारतानं गोळीबार केल्याचा पीएलएचा आरोप भारतानं वॉ…,not offensive,NULL,NULL
अर्णब वर हक्कभंग काय आणला …,not offensive,NULL,NULL
तुमचं म्हणजे अस आहे उचलली जीभ लावली टाळ्याला देशाचे पंतप्रधान आदरणीय मोदीजी यांच्याबद्दल बोललं त…,not offensive,NULL,NULL
चांगल्या माणसांवर कधीही करू नका कारण गेली की तिचं बनत असतं टिप …,not offensive,NULL,NULL
घ्या राउत ती तर बोली जे की हिंदुस्तान च आहे हे बेन मुंबई ला पाकिस्तान बोला आता काय रिप्लाई देता की तोंडा…,not offensive,NULL,NULL
भारतात ड्रग्स (गांजा चरस व इतर) सेवन करावं का? गेले काही दिवस हेच ऐकत आहे म्हणून सहज विचारलं,not offensive,NULL,NULL
बरं काही का असेना पण तिने एखादं काम सांगावं आणि ह्याने करू नाही असं कधी होईल का? मग तो भलेही कसंबसं नि…,not offensive,NULL,NULL
सुज्ञ मनुष्य जरी थोडे थोडे शुभ कर्म करीत राहिला तरी परिणामी तो चांगुलपणाने भरून जातो १० चंदन धूप कमळ मधुमा…,not offensive,NULL,NULL
ध्येयाकडे जात असताना वेदना या काही काळ असतात पण ध्येय साध्य केल्यानंतर मिळणारी कीर्ती अजरामर असते …,not offensive,NULL,NULL
दादांनी किंवा करून शिक्षण सेवकांना नयाय द्या…,not offensive,NULL,NULL
आताच आलेल्या माहिती नुसार खाजपा मध्ये पागल झालेल्या मंदाचीं यादी ज़ाहिर झाली आहे (सत्ता नसल्या मुळे होणारे मं…,not offensive,NULL,NULL
सरकारने आणि मीडिया ने रिह्या सुशांत आणि कंगना यांना जेवढं गांभीर्याने घेतला तितकंच राहुल गांधी ला घेतला असत तर थोडं का होई…,not offensive,NULL,NULL
जिवनात माणूस जेवढा कामाने थकत नाही त्यापेक्षा जास्त विचाराने थकतो,not offensive,NULL,NULL
का? कारण काय? कोणाच भल होणार? शेतकऱ्यांचे ? गरिबांचे? हा धक्का दणका कोणाला? यासाठी सरकार स्थापन केल? याचे समर्थक काय स्पष्टि…,not offensive,NULL,NULL
गेल्या काही वर्षात हवी तशी कामगिरी न करणाऱ्या मँचेस्टर युनायटेड संघाकडून येणाऱ्या २०२० २१च्या हंगामात काय अपेक्षा आ…,not offensive,NULL,NULL
इयत्ता ९ ते १२ वी वर्गात शिकणाऱ्या विद्यार्थ्यांना स्वच्छेने शिक्षकांच्या मार्गदर्शनखाली शाळेत जा…,not offensive,NULL,NULL
हे शेतकऱ्यांच्या पाचवी ला पुजलेले आहे साली मोदी साहेबांनी स्वामीनाथन आयोग सत्तेत आल्यावर राबवण्याचं गाजर दाखव…,not offensive,NULL,NULL
स्वप्न थांबली की आयुष्य थांबते विश्वास उडाला की आशा संपते  काळजी घेणे सोडलं की प्रेम संपते म्हणून स्वप्न पहा विश्वास…,not offensive,NULL,NULL
